SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
526139,TRANSGENE BI,XT,Q,4.04,4.04,4.00,4.04,4.04,3.85,63,122070,492858.00,
526143,MPL         ,XT,Q,5.89,5.89,5.34,5.70,5.70,5.62,20,18720,105940.00,
526159,NIKHIL ADHSV,X ,Q,397.85,397.85,397.85,397.85,397.85,405.95,19,440,175054.00,
526161,SPENTA INT. ,X ,Q,41.70,45.10,41.65,42.95,42.95,43.05,14,1316,55358.00,
526169,MULTIBASE I ,X ,Q,205.00,206.00,198.10,200.00,199.00,204.85,124,11717,2348653.00,
526173,ANDREW YULE ,B ,Q,20.90,21.50,19.10,19.65,19.65,20.95,697,291639,5931835.00,
526179,LUDOLOW JUTE,X ,Q,78.85,78.85,76.25,76.40,76.40,78.05,127,4563,351663.00,
526187,ASHRAM ONLIN,XT,Q,3.69,3.69,3.69,3.69,3.69,3.62,4,900,3321.00,
526193,ROYAL CUSHIO,XT,Q,6.33,6.33,6.33,6.33,6.33,6.66,2,150,949.00,
526195,NEOGEM INDIA,XT,Q,2.84,2.84,2.61,2.61,2.61,2.74,4,8100,21624.00,
526217,HITECHCORP  ,B ,Q,121.95,124.20,119.50,120.25,120.25,122.85,73,3290,402564.00,
526225,BLOOM DEKOR ,XT,Q,14.55,14.55,14.55,14.55,14.55,14.80,4,216,3142.00,
526227,FILATEX INDI,B ,Q,67.05,67.35,64.55,65.30,65.60,67.60,388,44571,2951144.00,
526231,STD.SURFACT.,XT,Q,23.25,25.65,23.25,25.65,25.65,24.45,12,941,22856.00,
526235,MERCATOR    ,T ,Q,0.90,0.94,0.87,0.93,0.93,0.90,46,71023,63707.00,
526237,MORGAN VENT ,X ,Q,6.24,6.88,6.24,6.88,6.88,6.56,30,3847,26404.00,
526241,AMRAPALI IND,X ,Q,3.85,4.25,3.85,4.25,4.25,4.05,7,3356,13872.00,
526247,PREMIER EXPL,T ,Q,145.00,146.00,141.35,142.10,142.10,145.90,10,795,115029.00,
526263,MOLD-TEK TEC,B ,Q,42.25,42.25,39.50,41.05,41.05,41.40,77,3727,150585.00,
526269,CRESTCHEM LT,XT,Q,24.70,24.70,24.60,24.60,24.60,25.85,13,870,21484.00,
526299,MPHASIS LTD ,A ,Q,1680.00,1686.10,1651.50,1672.95,1674.80,1678.40,1022,22704,37924387.00,
526301,MEDINOVA DIA,XT,Q,24.20,24.20,23.95,23.95,23.95,23.70,4,36,868.00,
526315,DIVYA.GRANIT,X ,Q,45.90,49.10,45.90,47.05,48.00,46.80,26,4201,200362.00,
526325,ORIENT PRESS,B ,Q,80.00,83.80,77.30,82.90,82.90,81.25,10,99,8013.00,
526335,SHREYAS INTE,XT,Q,5.49,5.49,5.39,5.39,5.39,5.49,9,1380,7566.00,
526355,DURO PACK   ,XT,Q,16.25,16.25,15.00,15.00,15.00,15.75,4,802,12032.00,
526365,SWARNASA    ,X ,Q,13.00,13.00,11.90,12.00,12.00,12.51,43,67545,819423.00,
526367,GANESH HSG. ,B ,Q,63.40,63.40,58.60,60.55,61.00,61.00,191,23916,1446860.00,
526371,NMDC LTD    ,A ,Q,130.60,132.15,126.25,126.90,126.90,132.00,3872,722094,93655176.00,
