SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1391.30,1399.95,1367.90,1377.75,1371.40,1396.45,816,4371,6037889.00,
500003,AEGIS LOGIS ,A ,Q,285.50,289.25,280.55,281.15,282.65,286.60,373,6461,1834475.00,
500008,AMAR RAJA BA,A ,Q,875.00,875.00,855.25,859.05,858.25,876.75,1146,25228,21741800.00,
500009,A.SARABHAI  ,X ,Q,18.45,18.55,17.85,18.15,18.50,18.15,104,21247,385838.00,
500010,HDFC        ,A ,Q,2490.00,2503.00,2447.55,2466.40,2466.40,2509.30,4519,50008,123575061.00,
500012,ANDHRA PETRO,X ,Q,63.00,64.90,59.70,60.30,60.85,62.05,523,93651,5773615.00,
500013,ANSAL INFRAS,B ,Q,6.91,6.91,6.65,6.72,6.72,6.80,24,10668,71828.00,
500014,UTIQUE      ,X ,Q,2.01,2.01,1.91,1.91,1.91,1.99,9,7252,14471.00,
500020,BOM DYEING  ,A ,Q,74.85,75.25,71.80,72.40,72.40,75.15,1627,281341,20806965.00,
500023,ASIANHOTNR  ,B ,Q,66.90,66.90,63.40,63.55,64.70,66.90,24,1139,73164.00,
500027,ATUL LTD.   ,A ,Q,6999.00,7071.95,6846.60,6948.30,6948.30,7022.95,315,679,4743961.00,
500028,ATV PROJECTS,XT,Q,4.27,4.45,4.26,4.28,4.45,4.46,22,11048,47306.00,
500031,BAJAJ ELECT.,A ,Q,940.15,953.70,938.00,942.15,942.15,953.80,735,6091,5767040.00,
500032,BAJAJHIND   ,A ,Q,6.65,6.66,6.26,6.32,6.32,6.59,842,692356,4449338.00,
500033,FORCE MOTR  ,A ,Q,1232.20,1241.80,1207.20,1216.60,1216.60,1235.90,491,1861,2277561.00,
500034,BAJFINANCE  ,A ,Q,5368.05,5369.30,5260.00,5269.85,5269.85,5377.25,6233,65025,344448339.00,
500038,BALRAM.CHINI,A ,Q,214.00,219.00,208.00,215.80,218.45,208.25,1978,135789,29175599.00,
500039,BANCO PROD. ,B ,Q,148.75,148.75,142.05,143.15,143.15,146.25,2188,68404,10012814.00,
500040,CENTURY TEXT,A ,Q,485.00,490.65,480.35,484.35,484.35,488.15,1165,57773,28119066.00,
500041,BANNARI AMAN,A ,Q,1699.95,1699.95,1651.50,1673.35,1673.35,1669.20,15,61,101206.00,
500042,BASF INDIA  ,A ,Q,2075.50,2088.95,1994.45,2002.40,2001.00,2081.60,473,1845,3752618.00,
500043,BATA INDIA  ,A ,Q,1489.00,1497.35,1449.75,1453.55,1450.50,1487.65,2157,21955,32285344.00,
500048,BEML LTD    ,A ,Q,1361.35,1361.35,1298.70,1306.50,1306.50,1361.35,2714,45974,60710767.00,
500049,BHARAT ELECT,A ,Q,126.70,126.70,121.65,122.20,122.20,126.65,7471,710007,88067518.00,
500052,BHANSALI ENG,A ,Q,149.55,150.65,144.45,145.65,146.70,150.10,581,25072,3688610.00,
500055,TATASTLBSL  ,B ,Q,46.60,47.05,45.00,45.30,45.30,47.60,998,341986,15742517.00,
500058,BIHAR SPONGE,XT,Q,1.98,1.98,1.98,1.98,1.98,1.95,9,5610,11107.00,
500060,BIRLACABLE  ,B ,Q,63.95,64.60,62.00,62.35,62.35,63.90,192,10359,656924.00,
500067,BLUE STAR   ,A ,Q,899.20,905.00,883.25,886.20,886.20,896.80,356,3747,3353094.00,
500068,DISA INDIA  ,X ,Q,4792.95,4792.95,4570.00,4686.75,4680.00,4707.90,48,143,667429.00,
500069,BNK CAPITAL ,X ,Q,124.00,127.00,124.00,124.60,124.90,124.80,21,4566,571279.00,
500074,BPL LTD.    ,B ,Q,24.95,24.95,23.65,23.65,23.65,24.85,123,8506,204230.00,
500078,OAL         ,B ,Q,566.95,576.15,559.80,560.10,560.00,566.00,278,2133,1206975.00,
500083,CENTURY EXT ,B ,Q,4.40,4.40,3.96,4.04,4.00,4.11,50,15061,61040.00,
500084,CESC LTD.   ,A ,Q,612.00,612.00,600.35,602.70,603.80,605.20,346,6385,3861098.00,
500085,CHAMBAL FERT,A ,Q,223.75,227.95,223.75,225.30,225.30,223.75,1117,94854,21448969.00,
500086,EXIDE IND.  ,A ,Q,189.15,189.15,183.15,183.60,183.60,189.50,2331,144916,26950551.00,
500087,CIPLA LTD.  ,A ,Q,774.00,798.70,774.00,792.65,792.65,776.30,6774,289172,228138385.00,
500089,DIC INDIA   ,B ,Q,403.25,406.90,395.10,397.55,397.55,399.00,99,3015,1207558.00,
500092,CRISIL LTD  ,A ,Q,1953.60,2035.00,1924.95,1937.60,1937.60,1948.60,572,2517,4976296.00,
500093,CGPOWER     ,B ,Q,67.95,67.95,65.80,67.90,67.90,64.75,2638,6915349,464865563.00,
500096,DABUR (I)   ,A ,Q,534.00,535.60,528.10,529.05,529.65,533.20,905,30824,16407304.00,
500097,DALMIASUG   ,A ,Q,171.05,174.35,169.30,170.75,172.00,171.55,960,30235,5204461.00,
500101,ARVIND Ltd  ,A ,Q,71.75,72.05,66.30,67.25,67.10,71.50,464,85441,5920852.00,
500102,BALARPUR IND,Z ,Q,1.17,1.24,1.17,1.20,1.19,1.23,336,440756,529774.00,
500103,BHEL        ,A ,Q,51.45,51.65,49.45,49.80,49.80,51.75,5530,2620790,132192723.00,
500104,HIND.PETRO  ,A ,Q,240.60,240.60,231.60,232.95,232.95,239.00,1320,84339,19835161.00,
500106,IFCI LTD    ,A ,Q,14.05,14.22,13.23,13.33,13.33,13.57,39643,2221752,30507991.00,
500108,MAHA.TELE   ,B ,Q,20.79,21.30,20.65,21.10,21.10,20.29,3411,1583680,33501173.00,
500109,MRPL        ,A ,Q,39.80,40.40,38.75,39.60,39.40,39.40,1485,377399,14921120.00,
500110,CHENNAI PET.,A ,Q,103.70,104.45,98.70,99.80,99.80,104.60,726,43950,4453520.00,
500111,REL.CAP.    ,B ,Q,12.02,12.25,11.53,11.55,11.55,12.13,1502,759647,8863220.00,
500112,STATE BANK  ,A ,Q,368.90,369.20,358.60,359.90,359.90,372.50,18675,1662784,604918696.00,
500113,STEEL AUTH. ,A ,Q,71.95,72.00,69.85,70.30,70.30,72.25,3381,1546219,109494605.00,
500114,TITAN       ,A ,Q,1489.75,1508.05,1476.90,1487.80,1487.80,1496.90,4545,202429,301203386.00,
500116,IDBI BANK L ,A ,Q,39.95,40.60,37.80,38.00,38.00,39.40,4132,1955476,76674078.00,
500117,DCW LTD.    ,B ,Q,29.00,29.20,27.50,27.65,27.65,28.75,845,337458,9468004.00,
500119,DHAMPUR SUGA,A ,Q,186.15,190.25,184.65,185.65,186.35,187.30,583,25840,4840886.00,
500120,DIAMINES&CHM,X ,Q,291.00,297.00,275.10,277.60,280.00,291.65,568,26247,7481659.00,
500123,ELANTAS     ,A ,Q,3415.00,3415.00,3307.00,3313.40,3320.00,3364.90,54,535,1779364.00,
500124,DR.REDDY'S  ,A ,Q,4360.00,4418.00,4340.10,4351.05,4348.45,4371.95,2612,30706,134803456.00,
500125,E.I.D.PAR   ,A ,Q,333.85,344.00,332.20,335.65,335.95,335.00,434,16347,5515203.00,
500126,PGHL        ,A ,Q,6275.00,6300.00,6073.00,6114.55,6113.40,6306.45,909,1760,10870729.00,
500128,ELEC.CASTING,B ,Q,24.00,24.25,23.80,24.00,24.00,23.90,151,26839,644541.00,
500133,ESAB INDIA  ,A ,Q,1872.80,1874.00,1829.65,1847.35,1831.85,1870.45,131,346,641527.00,
500135,EPL         ,A ,Q,217.05,220.95,215.30,218.55,219.25,219.30,1117,39213,8592017.00,
500136,ESTER INDUS.,B ,Q,120.30,124.35,119.05,119.75,119.75,123.65,1698,59462,7229726.00,
500143,P.H.CAPITAL ,X ,Q,31.90,31.90,28.90,28.90,28.90,30.40,3,22,695.00,
500144,FINOL. CABLE,A ,Q,372.95,378.95,372.95,374.10,373.40,372.00,249,5373,2022388.00,
500147,COCKERILL   ,X ,Q,843.00,843.00,802.05,808.30,803.05,821.70,44,596,490632.00,
500148,UFLEX LTD   ,A ,Q,393.10,393.50,381.05,383.10,384.10,393.85,1172,23388,9048157.00,
500150,FOSECO INDIA,B ,Q,1175.05,1181.05,1167.00,1174.10,1178.00,1175.65,68,248,290537.00,
500151,GOLDEN TOB  ,B ,Q,45.50,45.50,40.30,42.50,42.50,43.30,15,531,22663.00,
500153,GANESH BENZO,X ,Q,66.75,67.50,65.55,66.05,65.55,66.50,168,24590,1639854.00,
500159,METROGLOBL  ,X ,Q,60.00,62.95,55.55,56.55,56.55,55.60,28,803,46240.00,
500160,GTL LTD.    ,B ,Q,6.25,6.25,5.95,5.96,6.05,6.09,2143,34290,206638.00,
500163,GODFREY PH  ,A ,Q,899.90,909.80,895.00,898.45,900.00,897.20,709,45783,41163072.00,
500164,GODREJ IND  ,A ,Q,525.00,535.00,516.65,525.25,525.25,520.90,1504,32991,17434642.00,
500165,KANSAI NERO ,A ,Q,553.25,559.25,541.05,555.25,554.45,552.90,452,8771,4846163.00,
500166,GOODRICKE   ,X ,Q,219.60,224.50,216.15,217.65,217.65,219.75,128,22456,4911485.00,
500168,GOODYEAR (I),A ,Q,929.90,930.95,899.65,905.10,905.10,924.60,666,3505,3209061.00,
500170,GTN INDUS   ,X ,Q,10.99,11.85,10.99,11.85,11.85,11.54,11,1065,12377.00,
500171,GHCL LTD    ,A ,Q,227.90,228.40,222.60,224.35,223.50,227.75,540,13690,3083147.00,
500173,GFLLIMITED  ,A ,Q,100.05,117.90,100.00,106.95,106.95,99.30,2551,120840,13351671.00,
500179,HCL INFOSYS ,B ,Q,9.53,9.53,8.83,9.04,9.01,9.29,230,72073,653618.00,
500180,HDFC BANK   ,A ,Q,1494.00,1506.45,1471.00,1479.95,1479.95,1500.35,19110,424751,631982861.00,
500182,HEROMOTOCO  ,A ,Q,3064.60,3086.25,3022.35,3034.80,3034.80,3067.15,1950,21031,64350590.00,
500183,HFCL        ,A ,Q,27.60,27.60,26.35,26.55,26.45,27.40,781,568586,15228342.00,
500184,HSCL        ,A ,Q,43.25,43.90,42.00,42.30,42.30,43.25,1861,419171,18031209.00,
500185,HIND.CONSTN.,A ,Q,8.05,8.05,7.75,7.79,7.79,8.01,878,443433,3478073.00,
500186,HIND.OIL EXP,A ,Q,96.90,96.90,92.00,93.95,93.95,97.40,1281,135937,12892830.00,
500187,HSIL        ,B ,Q,158.15,163.50,156.30,159.15,157.00,161.70,2147,100984,16157395.00,
500188,HINDUS.ZI   ,A ,Q,270.50,275.40,264.00,265.10,265.10,270.50,4896,112460,30380461.00,
500189,NXTDIGITAL  ,B ,Q,482.20,482.25,467.15,473.85,473.85,487.80,27,223,105911.00,
500191,HMT LTD.    ,Z ,Q,32.15,34.00,32.15,32.85,32.15,33.80,112,25319,830203.00,
500192,PRAG BOSIMI ,XT,Q,1.75,1.76,1.60,1.62,1.62,1.68,12,3715,6345.00,
500193,HLVLTD      ,B ,Q,6.01,6.10,5.90,5.97,5.97,6.10,102,20368,122089.00,
500199,I.G.PETRO   ,B ,Q,436.50,438.00,415.00,417.95,419.20,438.70,914,10463,4450459.00,
500201,IND.GLYCOLS ,A ,Q,470.00,474.00,447.10,451.65,451.65,467.90,1972,56422,25925929.00,
500202,IND.LEAS.DEV,X ,Q,10.48,11.58,10.48,10.48,10.48,11.03,4,501,5251.00,
500207,INDO RAMA   ,B ,Q,38.25,38.25,37.00,37.05,37.05,38.55,40,1703,63598.00,
500209,INFOSYS LTD ,A ,Q,1362.00,1370.40,1346.60,1353.80,1353.80,1371.20,5078,116760,158448973.00,
500210,INGERSOLL   ,A ,Q,707.55,707.55,682.20,683.65,685.05,692.75,381,1352,932797.00,
500211,INSILCO LTD.,X ,Q,7.05,7.19,6.90,7.01,7.15,7.06,35,56184,393418.00,
500212,INTEG.FIN.SE,XT,Q,31.70,31.70,31.70,31.70,31.70,30.20,2,51,1616.00,
500213,INTER.TRAVEL,X ,Q,62.00,62.00,58.50,59.15,59.15,61.30,73,3668,218726.00,
500214,ION EXCHANGE,A ,Q,1373.90,1382.75,1326.00,1338.75,1338.75,1376.65,626,9786,13219453.00,
500215,AGRO TECH FO,A ,Q,834.05,840.00,773.05,789.70,773.05,817.70,151,384,305366.00,
500219,JAIN IRRIG  ,A ,Q,20.60,20.95,19.95,20.05,20.20,20.85,891,276376,5587529.00,
500220,JASCH INDUST,X ,Q,57.00,57.30,55.15,56.90,56.90,57.75,33,4025,228662.00,
500223,JCT LTD     ,X ,Q,0.94,0.97,0.91,0.96,0.96,0.93,654,1642812,1550695.00,
500227,JINDAL POLYF,A ,Q,784.95,793.65,743.60,749.95,749.95,782.70,1126,12284,9421415.00,
500228,JSWSL       ,A ,Q,437.80,443.25,431.95,437.80,437.80,441.75,2415,218295,95401821.00,
500231,UMANG DAIR  ,B ,Q,59.85,61.40,58.65,60.15,60.15,59.90,121,4600,276493.00,
500233,KAJARIA CER.,A ,Q,934.90,934.90,861.30,873.20,873.20,910.00,1426,20440,18275139.00,
500234,KAKATIYA CEM,B ,Q,174.75,176.10,170.00,170.50,170.00,174.50,95,2259,389891.00,
500235,KALYANI STEL,A ,Q,311.00,312.05,306.25,308.95,308.75,308.75,146,2467,763041.00,
500236,KANELIND    ,XT,Q,1.20,1.20,1.18,1.18,1.18,1.20,3,700,834.00,
500238,WHIRLPOOL   ,A ,Q,2281.05,2306.45,2245.00,2256.15,2250.00,2295.55,1195,6576,14945693.00,
500239,KG DENIM    ,X ,Q,28.60,29.70,28.00,29.10,28.80,29.45,64,2332,67277.00,
500240,KINETIC ENG.,XT,Q,42.25,42.25,40.10,40.45,41.60,41.45,33,15410,634667.00,
500241,KIRL.BROS.  ,B ,Q,224.00,236.00,219.20,221.15,221.15,227.05,2123,45998,10517752.00,
500243,KIRL INDUS  ,B ,Q,1320.00,1341.30,1295.00,1299.00,1300.00,1341.60,24,87,114665.00,
500245,KIRL.FERROUS,B ,Q,158.05,164.35,157.00,159.30,160.00,157.90,1059,33620,5365223.00,
500246,ENVAIN ELECT,XT,Q,33.55,33.55,33.55,33.55,33.55,34.70,2,200,6710.00,
500247,KOTAK MAH.BK,A ,Q,1802.00,1807.45,1774.00,1782.30,1782.30,1813.15,13220,126976,226618091.00,
500248,KRIFILIND   ,XT,Q,3.40,3.40,3.40,3.40,3.40,3.32,7,10000,34000.00,
500249,KSB         ,A ,Q,847.90,877.25,840.00,855.55,857.05,841.70,1088,6430,5515618.00,
500250,L.G.BALKRISH,A ,Q,310.00,310.00,300.00,301.75,300.00,309.85,300,3322,1008322.00,
500251,TRENT LTD.  ,A ,Q,816.00,849.00,777.30,786.00,786.00,815.00,4070,89963,73049989.00,
500252,LAXMIMACH   ,A ,Q,6901.00,6919.00,6800.00,6891.75,6880.05,6916.75,265,5616,38682730.00,
500253,LIC HOUS.FIN,A ,Q,416.90,419.55,408.10,409.40,409.40,418.00,1713,121570,50088352.00,
500257,LUPIN LTD.  ,A ,Q,1016.70,1026.95,1005.20,1011.95,1011.95,1015.05,2665,77168,78608104.00,
500259,LYKA LABS   ,T ,Q,23.60,23.70,22.55,22.65,23.00,23.70,58,18706,429142.00,
500260,RAMCOCEM    ,A ,Q,986.95,992.20,966.20,969.25,967.30,983.85,441,9575,9369823.00,
500264,MAFATLAL IND,X ,Q,92.90,92.90,89.25,91.60,91.80,90.85,36,2087,190092.00,
500265,MAH.SEAMLESS,A ,Q,278.80,280.95,278.00,278.00,278.00,279.90,85,2564,714234.00,
500266,MAH.SCOOTER ,A ,Q,3684.25,3724.40,3627.95,3648.55,3666.00,3688.55,240,446,1638513.00,
500267,MAJESTIC AUT,X ,Q,107.60,109.80,104.30,106.30,105.75,107.50,29,2261,238901.00,
500268,MANALI PETRO,B ,Q,61.80,62.70,60.60,61.00,61.00,62.95,574,92626,5730647.00,
500271,MFSL        ,A ,Q,865.25,876.40,839.30,844.70,847.50,868.45,1036,27632,23725696.00,
500277,MID INDIA IN,XT,Q,3.50,3.50,3.50,3.50,3.50,3.53,19,1399,4896.00,
500279,MIRC ELECT  ,T ,Q,14.70,14.84,14.00,14.08,14.25,14.47,239,114377,1652490.00,
500280,CENTURY ENKA,B ,Q,255.75,261.55,247.10,249.50,249.50,258.85,448,9582,2438421.00,
500284,LORDS CHLORO,X ,Q,30.05,30.05,30.05,30.05,30.05,31.30,1,2,60.00,
500285,SPICEJET LTD,A ,Q,72.95,73.90,71.60,71.85,71.85,74.75,2760,517487,37632836.00,
500288,MOREPEN LAB.,A ,Q,33.70,34.85,32.05,32.35,32.35,33.35,865,353152,11852972.00,
500290,MRF LTD.    ,A ,Q,83910.00,84378.80,81900.05,82262.45,82159.05,84618.85,948,1173,97612589.00,
500292,HEIDEL CEM  ,A ,Q,234.40,236.00,228.45,233.85,234.00,230.85,690,14964,3485040.00,
500294,NCC         ,A ,Q,80.80,80.80,76.25,77.10,77.10,80.95,2559,667825,52094532.00,
500295,VEDL        ,A ,Q,223.70,225.05,222.80,223.35,223.35,223.70,3073,388075,86901593.00,
500296,NAHAR SPG.  ,B ,Q,106.15,107.75,105.00,105.55,105.00,106.95,18,2406,256812.00,
500298,NAT.PEROXIDE,A ,Q,2181.00,2200.00,2122.60,2184.30,2184.30,2196.20,1218,13672,29635234.00,
500300,GRASIM IND. ,A ,Q,1409.70,1409.70,1380.00,1388.20,1389.50,1410.65,1287,35120,49018937.00,
500302,PEL         ,A ,Q,1899.95,1908.00,1836.15,1844.35,1844.35,1911.70,2819,39938,74845644.00,
500304,NIIT LTD.   ,A ,Q,157.00,157.00,153.50,154.60,154.35,155.75,330,12066,1865425.00,
500306,JAYKAY      ,XT,Q,35.00,35.00,35.00,35.00,35.00,34.35,56,37580,1315300.00,
500307,NIRLON      ,A ,Q,269.90,271.00,262.00,264.35,265.00,267.80,70,2826,753390.00,
500312,ONGC CORPN  ,A ,Q,105.95,106.00,102.90,104.75,104.75,107.15,6667,1086966,113436277.00,
500313,OIL COUNTRY ,B ,Q,6.94,6.95,6.94,6.95,6.95,6.62,40,16048,111519.00,
500314,ORIENT HOTEL,B ,Q,23.20,23.50,22.45,23.05,23.05,23.35,24,1552,35603.00,
500317,OSWAL AGRO. ,B ,Q,10.76,10.76,10.29,10.37,10.37,10.69,102,26163,273117.00,
500319,INDIAN SUCRO,X ,Q,22.45,22.45,21.35,21.50,22.10,21.65,21,4198,90740.00,
500325,RELIANCE    ,A ,Q,2080.55,2080.55,2040.80,2047.30,2047.30,2089.05,20415,307569,632418003.00,
500327,PILITA      ,B ,Q,17.40,17.80,16.40,16.49,16.52,16.69,86,34420,576042.00,
500330,RAYMOND     ,A ,Q,347.30,347.30,338.85,340.15,340.15,348.45,1075,32936,11271612.00,
500331,PIDILITE    ,A ,Q,1790.00,1815.00,1784.25,1794.10,1791.50,1788.15,2867,30621,55100823.00,
500333,PIX TRANS   ,X ,Q,335.00,335.00,321.20,325.70,329.00,330.05,136,4481,1463690.00,
500335,BIRLA CORPN.,A ,Q,858.60,916.15,858.60,874.90,877.35,849.40,3190,59953,53587486.00,
500336,SURYA ROSHNI,A ,Q,383.00,383.00,366.90,371.80,367.60,380.40,1751,40754,15276395.00,
500337,PRIME SECUR.,T ,Q,43.00,46.00,42.70,43.15,44.00,44.90,27,636,27921.00,
500338,PRSMJOHNSN  ,A ,Q,119.95,123.50,118.55,121.15,121.15,120.05,1856,102925,12594856.00,
500339,RAIN        ,A ,Q,147.90,148.75,140.90,141.30,141.25,147.90,2107,199287,28559958.00,
500343,AMJLAND     ,B ,Q,23.90,24.00,22.50,23.70,23.70,23.40,37,6970,162995.00,
500346,PUN.COMMUNI.,B ,Q,21.35,22.90,21.35,22.90,22.90,22.10,2,101,2157.00,
500350,RSWM  LTD   ,B ,Q,202.00,202.00,190.00,194.85,193.95,196.50,116,2597,503883.00,
500354,RAJSH.SUGAR ,T ,Q,18.75,19.85,18.05,18.15,18.10,19.00,35,4402,81576.00,
500355,RALLIS INDIA,A ,Q,264.90,270.10,261.75,266.35,266.35,264.75,721,25881,6913564.00,
500356,RAMANEWS    ,B ,Q,15.25,16.00,15.20,15.21,15.21,16.06,32,3495,53688.00,
500357,RAMA PAPER  ,XT,Q,14.95,14.95,14.95,14.95,14.95,15.22,1,10,149.00,
500358,RAMA PETRO  ,XT,Q,3.74,3.74,3.74,3.74,3.74,3.81,3,160,598.00,
500360,RAPICUT CARB,X ,Q,24.50,25.50,24.35,24.35,24.35,24.60,4,1201,29401.00,
500365,WELSPLSOL   ,X ,Q,13.95,13.95,12.52,12.95,12.97,13.69,169,143677,1886387.00,
500366,ROLTA (I)   ,B ,Q,3.95,3.96,3.85,3.86,3.86,3.93,7521,109108,425932.00,
500367,RUBFILA INT.,X ,Q,61.00,61.00,57.10,57.95,58.40,59.45,180,23435,1365908.00,
500368,RUCHI SOYA  ,B ,Q,680.00,690.00,662.00,666.55,669.35,675.85,506,3314,2233110.00,
500370,SALORA INT. ,XT,Q,43.00,43.10,41.10,43.10,43.10,41.05,38,3632,156156.00,
500378,JINDAL SAW  ,A ,Q,74.20,74.85,71.90,72.05,72.05,74.35,971,146508,10737041.00,
500380,JK LAKSHMI  ,A ,Q,406.00,413.60,398.60,401.45,404.25,405.95,471,11536,4691472.00,
500387,SHREE CEMENT,A ,Q,27960.00,28370.90,27746.60,27787.25,27772.20,28303.65,947,2126,59555793.00,
500390,REL INFRA   ,A ,Q,39.90,41.60,37.10,37.60,37.60,39.80,4054,948326,37191616.00,
500400,TATA POWER  ,A ,Q,103.30,105.65,100.80,101.25,101.25,104.35,9869,3384961,349622283.00,
500402,SPMLINFRA   ,B ,Q,11.22,11.22,10.25,10.38,10.50,11.05,39,8243,89629.00,
500403,SUNDARAM FAS,A ,Q,729.15,739.35,718.50,724.35,720.60,733.70,304,10049,7322816.00,
500404,SUNFLAG IRON,A ,Q,60.20,61.20,58.75,59.15,59.20,60.10,671,79102,4785208.00,
500405,SUPREME PET ,A ,Q,420.95,425.45,415.00,416.60,417.50,423.65,223,3429,1443727.00,
500407,SWARAJ ENGIN,A ,Q,1320.05,1320.05,1283.45,1301.30,1298.95,1319.10,82,236,306951.00,
500408,TATA ELXSI  ,A ,Q,2742.70,2742.70,2651.00,2670.15,2674.10,2732.00,1032,10354,27935862.00,
500410,ACC LTD     ,A ,Q,1910.00,1922.00,1887.10,1891.30,1891.30,1910.55,2236,36842,70219938.00,
500411,THERMAX     ,A ,Q,1428.00,1428.00,1357.70,1369.00,1370.00,1386.15,277,1171,1609608.00,
500412,THIRUMALAI  ,A ,Q,93.65,94.55,91.55,91.85,91.85,94.20,488,55664,5165810.00,
500413,THOMAS COOK ,A ,Q,52.00,52.00,48.95,49.40,49.85,50.25,357,51801,2600912.00,
500414,TIMEX GROUP ,X ,Q,30.00,30.00,28.50,28.70,28.70,29.30,112,37243,1077428.00,
500418,TOKYO PLAST ,B ,Q,70.40,71.60,70.40,71.60,71.60,69.00,21,2027,142803.00,
500420,TORRENT PHAR,A ,Q,2479.00,2485.00,2447.60,2460.85,2454.60,2472.60,330,3874,9560273.00,
500422,TRANSCHEM   ,X ,Q,15.30,17.50,15.30,15.85,15.90,16.20,27,3237,51600.00,
500425,AMBUJA CEME ,A ,Q,303.60,307.35,300.75,303.75,303.75,304.35,3670,328603,100094432.00,
500426,UTLINDS     ,XT,Q,14.29,14.29,13.00,14.14,14.29,13.65,23,4083,56107.00,
500429,UNIPHOS ENT.,B ,Q,83.00,85.65,78.20,84.50,84.40,85.85,205,16789,1423296.00,
500439,VARD HOLDNG ,B ,Q,1823.00,1823.00,1786.05,1787.65,1786.05,1806.25,10,52,93623.00,
500440,HINDALCO    ,A ,Q,329.00,329.00,316.90,317.60,317.60,331.55,3943,461397,147780312.00,
500444,WEST COAS PA,A ,Q,251.05,251.05,238.45,242.60,238.45,251.45,681,23644,5817813.00,
500449,HIND.ORG.CHM,T ,Q,39.60,39.80,38.10,39.45,39.55,37.95,1303,387368,15281155.00,
500450,MPIL CORP L ,X ,Q,266.10,270.00,266.10,270.00,270.00,280.00,3,70,18822.00,
500456,PAS.ACRYLON ,X ,Q,14.76,15.30,14.76,14.84,14.84,15.23,91,48514,734149.00,
500459,PROCTER &GAM,A ,Q,12999.95,13050.00,12968.40,13014.60,12993.50,12967.45,101,170,2212836.00,
500460,MUKAND LTD. ,B ,Q,56.95,57.60,55.35,56.00,56.35,55.80,133,14203,798248.00,
500463,AGCNET      ,B ,Q,1071.10,1105.95,1071.10,1105.95,1105.95,1053.30,19,279,305089.00,
500464,UCAL FUEL   ,B ,Q,144.35,145.20,140.00,140.50,140.55,145.35,939,20082,2872156.00,
500467,HARR.MALAYAL,B ,Q,143.30,145.45,138.85,140.25,139.00,145.00,272,15329,2173538.00,
500469,FEDERAL BANK,A ,Q,78.30,78.30,75.10,75.65,75.60,78.20,1851,670775,51397610.00,
500470,TATA STEEL  ,A ,Q,735.00,735.00,699.05,703.40,703.40,740.95,13859,755286,538856984.00,
500472,SKF INDIA   ,A ,Q,2399.00,2399.00,2148.75,2219.10,2204.00,2200.15,367,1558,3452591.00,
500477,ASHOK LEYL. ,A ,Q,114.75,115.00,111.75,112.15,112.70,114.75,4204,1154304,131413174.00,
500480,CUMMINS (I) ,A ,Q,887.00,888.30,862.20,864.60,865.80,892.25,1397,44267,38673688.00,
500483,TATA COMM   ,A ,Q,1126.00,1126.00,1060.00,1093.85,1093.85,1112.70,2589,35527,38563989.00,
500488,ABBOTT (I)  ,A ,Q,14770.70,14930.80,14712.10,14854.60,14850.00,14804.40,190,896,13281426.00,
500490,BAJ HOLD INV,A ,Q,3428.15,3443.95,3422.50,3430.30,3431.85,3447.20,152,643,2205002.00,
500493,BHARAT FORGE,A ,Q,592.00,602.20,578.45,580.65,580.65,594.80,2496,82597,48612560.00,
500495,ESCORTS LTD.,A ,Q,1360.00,1374.35,1316.25,1322.65,1324.95,1365.35,1706,38748,51898671.00,
500500,HIND.MOTORS ,T ,Q,6.95,6.95,6.55,6.71,6.70,6.68,39,16984,114589.00,
500510,LARSEN & TOU,A ,Q,1401.70,1406.95,1360.50,1368.55,1368.55,1404.75,13449,168863,232455138.00,
500520,MAH & MAH   ,A ,Q,833.00,844.95,809.00,811.15,811.15,844.65,3343,93778,77269053.00,
500530,BOSCH LTD   ,A ,Q,14250.00,14340.70,13980.00,14010.45,14010.45,14327.75,615,1387,19603887.00,
500540,PREMIER LTD ,T ,Q,2.66,2.79,2.65,2.65,2.65,2.78,12,5301,14093.00,
500547,BHARAT PET. ,A ,Q,435.00,436.50,428.50,430.00,430.00,436.80,9295,328837,142204506.00,
500550,SIEMENS LTD.,A ,Q,1843.80,1860.00,1793.90,1805.80,1808.00,1852.35,1694,22863,41663649.00,
500570,TATA MOTORS ,A ,Q,304.00,305.05,293.30,294.45,294.45,307.30,25540,3362176,1008273984.00,
500575,VOLTAS LTD  ,A ,Q,996.00,1011.55,982.65,984.55,985.30,1001.05,2995,69492,69053209.00,
500620,GREAT EASTE ,A ,Q,321.00,321.00,308.00,310.05,310.05,319.30,223,6365,1992060.00,
500645,DEEPAK FERT.,A ,Q,231.20,238.85,223.25,226.35,225.70,237.90,1775,77435,17940441.00,
500650,EXCEL INDUST,A ,Q,875.55,886.45,853.90,860.95,858.00,870.05,1013,5747,5002956.00,
500655,GARWARE POLY,X ,Q,707.70,737.00,707.70,712.95,712.95,727.75,210,11328,8149599.00,
500660,GLAXOSMITH  ,A ,Q,1419.50,1423.50,1398.20,1401.50,1402.00,1419.75,420,1906,2679602.00,
500670,GUJ.NARMADA ,A ,Q,299.70,301.60,290.75,291.80,293.20,298.90,1348,147719,43673035.00,
500672,NOVARTIS    ,A ,Q,581.75,581.75,557.00,573.50,570.00,577.95,271,2830,1615994.00,
